Full Evaluation Report

--- Bin: 0 (No Fire) fire pixels (202 samples) ---
sample_0367.npy: GT=31, AUPRC=0.8678
sample_1650.npy: GT=14, AUPRC=0.8675
sample_0146.npy: GT=3, AUPRC=0.8667
sample_0481.npy: GT=3, AUPRC=0.8667
sample_1261.npy: GT=3, AUPRC=0.8667
sample_1324.npy: GT=3, AUPRC=0.8667
sample_1460.npy: GT=9, AUPRC=0.8649
sample_1491.npy: GT=11, AUPRC=0.8649
sample_0968.npy: GT=8, AUPRC=0.8636
sample_1427.npy: GT=6, AUPRC=0.8635
sample_0580.npy: GT=9, AUPRC=0.8562
sample_0686.npy: GT=6, AUPRC=0.8552
sample_0980.npy: GT=4, AUPRC=0.8542
sample_1412.npy: GT=23, AUPRC=0.8531
sample_1542.npy: GT=8, AUPRC=0.8523
sample_1463.npy: GT=9, AUPRC=0.8516
sample_0629.npy: GT=11, AUPRC=0.8514
sample_0897.npy: GT=10, AUPRC=0.8512
sample_1064.npy: GT=40, AUPRC=0.8501
sample_0209.npy: GT=4, AUPRC=0.8500
sample_1462.npy: GT=8, AUPRC=0.8492
sample_1517.npy: GT=11, AUPRC=0.8467
sample_1005.npy: GT=8, AUPRC=0.8462
sample_0124.npy: GT=9, AUPRC=0.8449
sample_1104.npy: GT=9, AUPRC=0.8446
sample_1445.npy: GT=6, AUPRC=0.8437
sample_1229.npy: GT=6, AUPRC=0.8423
sample_0104.npy: GT=28, AUPRC=0.8421
sample_1453.npy: GT=6, AUPRC=0.8417
sample_0933.npy: GT=4, AUPRC=0.8409
sample_1077.npy: GT=14, AUPRC=0.8402
sample_0883.npy: GT=5, AUPRC=0.8393
sample_1107.npy: GT=20, AUPRC=0.8387
sample_1041.npy: GT=13, AUPRC=0.8376
sample_0396.npy: GT=10, AUPRC=0.8352
sample_0395.npy: GT=10, AUPRC=0.8346
sample_0581.npy: GT=32, AUPRC=0.8341
sample_0508.npy: GT=3, AUPRC=0.8333
sample_0614.npy: GT=2, AUPRC=0.8333
sample_0641.npy: GT=2, AUPRC=0.8333
sample_0726.npy: GT=3, AUPRC=0.8333
sample_0989.npy: GT=2, AUPRC=0.8333
sample_1277.npy: GT=2, AUPRC=0.8333
sample_0587.npy: GT=7, AUPRC=0.8329
sample_1590.npy: GT=7, AUPRC=0.8329
sample_0330.npy: GT=41, AUPRC=0.8314
sample_1066.npy: GT=7, AUPRC=0.8310
sample_1593.npy: GT=4, AUPRC=0.8304
sample_1594.npy: GT=4, AUPRC=0.8304
sample_1227.npy: GT=13, AUPRC=0.8300
sample_0817.npy: GT=6, AUPRC=0.8293
sample_1628.npy: GT=19, AUPRC=0.8260
sample_0359.npy: GT=5, AUPRC=0.8254
sample_1109.npy: GT=9, AUPRC=0.8253
sample_0677.npy: GT=5, AUPRC=0.8242
sample_0832.npy: GT=5, AUPRC=0.8242
sample_0109.npy: GT=12, AUPRC=0.8215
sample_1282.npy: GT=9, AUPRC=0.8214
sample_1389.npy: GT=7, AUPRC=0.8214
sample_0105.npy: GT=6, AUPRC=0.8211
sample_1392.npy: GT=12, AUPRC=0.8210
sample_0064.npy: GT=13, AUPRC=0.8201
sample_1079.npy: GT=17, AUPRC=0.8192
sample_1086.npy: GT=9, AUPRC=0.8178
sample_0820.npy: GT=4, AUPRC=0.8167
sample_0803.npy: GT=38, AUPRC=0.8163
sample_0040.npy: GT=4, AUPRC=0.8125
sample_1613.npy: GT=16, AUPRC=0.8120
sample_0017.npy: GT=3, AUPRC=0.8095
sample_0568.npy: GT=3, AUPRC=0.8095
sample_0838.npy: GT=3, AUPRC=0.8095
sample_1020.npy: GT=9, AUPRC=0.8087
sample_0801.npy: GT=9, AUPRC=0.8071
sample_0431.npy: GT=15, AUPRC=0.8054
sample_0068.npy: GT=4, AUPRC=0.8042
sample_1641.npy: GT=4, AUPRC=0.8042
sample_1562.npy: GT=8, AUPRC=0.8041
sample_1518.npy: GT=10, AUPRC=0.8037
sample_1263.npy: GT=7, AUPRC=0.8036
sample_1609.npy: GT=6, AUPRC=0.8022
sample_0412.npy: GT=18, AUPRC=0.8006
sample_1188.npy: GT=8, AUPRC=0.7989
sample_0658.npy: GT=25, AUPRC=0.7980
sample_0818.npy: GT=28, AUPRC=0.7968
sample_1527.npy: GT=5, AUPRC=0.7962
